OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE597574172022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-JAWA BARAT,0
VE596231012022,TRAILER_CONTAINER20,PJM,2022-04-05,JABODETABEK-JABODETABEK,0
VE590976112022,TRAILER_CONTAINER20,SKB,2022-02-04,JABODETABEK-JABODETABEK,0
VE593536312022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JABODETABEK,0
VE597565242022,TRAILER_CONTAINER20,PJM,2022-04-20,JABODETABEK-JABODETABEK,0
VE603461802022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,15
VE603461892022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,15
VE603461692022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,15
VE588916322022,TRAILER_CONTAINER20,SKB,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589388072022,TRAILER_CONTAINER20,FTJ,2022-01-18,JABODETABEK-JAWA BARAT,0
VE588916022022,TRAILER_CONTAINER20,SKB,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589375062022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589385992022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589378982022,TRAILER_CONTAINER20,SKB,2022-01-18,JABODETABEK-JAWA BARAT,0
VE589391882022,TRAILER_CONTAINER20,FTJ,2022-01-18,JABODETABEK-JAWA BARAT,0
VE591833392022,TRAILER_CONTAINER20,PTL,2022-02-15,JABODETABEK-JAWA BARAT,0
VE591766792022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591766752022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591766862022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-JAWA BARAT,0
VE594168922022,TRAILER_CONTAINER20,FTJ,2022-03-11,JABODETABEK-JAWA BARAT,0
VE594168962022,TRAILER_CONTAINER20,FTJ,2022-03-11,JABODETABEK-JAWA BARAT,0
VE594168992022,TRAILER_CONTAINER20,FTJ,2022-03-11,JABODETABEK-JAWA BARAT,0
VE599234792022,TRAILER_CONTAINER20,JI,2022-05-10,JABODETABEK-JAWA BARAT,0
VE599254152022,TRAILER_CONTAINER20,SKB,2022-05-10,JABODETABEK-JAWA BARAT,0
VE594168422022,TRAILER_CONTAINER20,FTJ,2022-03-11,JABODETABEK-JAWA BARAT,0
VE594168902022,TRAILER_CONTAINER20,FTJ,2022-03-11,JABODETABEK-JAWA BARAT,0
